"","abundance","years","lat","long"
"96",39,2013,48.5,45.5
"97",43,2013,48.5,46.5
"98",45,2013,48.5,47.5
"99",57,2013,48.5,48.5
"100",56,2013,47.5,-49.5
"101",63,2013,47.5,-48.5
"102",62,2013,47.5,-47.5
"103",64,2013,47.5,-46.5
"104",59,2013,47.5,-45.5
"105",59,2013,47.5,-44.5
"106",57,2013,47.5,-43.5
"107",56,2013,47.5,-42.5
"108",61,2013,47.5,-41.5
"109",54,2013,47.5,-40.5
"110",49,2013,47.5,-39.5
"111",48,2013,47.5,-38.5
"112",51,2013,47.5,-37.5
"113",52,2013,47.5,-36.5
"114",49,2013,47.5,-35.5
"115",50,2013,47.5,-34.5
"116",54,2013,47.5,-33.5
"117",56,2013,47.5,-32.5
"118",60,2013,47.5,-31.5
"119",67,2013,47.5,-30.5
"120",61,2013,47.5,-29.5
"121",61,2013,47.5,-28.5
"122",55,2013,47.5,-27.5
"123",57,2013,47.5,-26.5
"124",59,2013,47.5,-25.5
"125",59,2013,47.5,-24.5
"126",56,2013,47.5,-23.5
"127",58,2013,47.5,-22.5
"128",60,2013,47.5,-21.5
"129",60,2013,47.5,-20.5
"130",59,2013,47.5,-19.5
"131",60,2013,47.5,-18.5
"132",62,2013,47.5,-17.5
"133",53,2013,47.5,-16.5
"134",59,2013,47.5,-15.5
"135",56,2013,47.5,-14.5
"136",52,2013,47.5,-13.5
"137",52,2013,47.5,-12.5
"138",53,2013,47.5,-11.5
"139",61,2013,47.5,-10.5
"140",63,2013,47.5,-9.5
"141",61,2013,47.5,-8.5
"142",58,2013,47.5,-7.5
"143",51,2013,47.5,-6.5
"144",51,2013,47.5,-5.5
"145",51,2013,47.5,-4.5
"146",52,2013,47.5,-3.5
"147",42,2013,47.5,-2.5
"148",46,2013,47.5,-1.5
"149",43,2013,47.5,-0.5
"150",46,2013,47.5,0.5
"151",39,2013,47.5,1.5
"152",41,2013,47.5,2.5
"153",39,2013,47.5,3.5
"154",36,2013,47.5,4.5
"155",35,2013,47.5,5.5
"156",36,2013,47.5,6.5
"157",36,2013,47.5,7.5
"158",23,2013,47.5,8.5
"159",17,2013,47.5,9.5
"160",19,2013,47.5,10.5
"161",10,2013,47.5,11.5
"162",5,2013,47.5,12.5
"163",6,2013,47.5,13.5
"164",2,2013,47.5,14.5
"165",9,2013,47.5,15.5
"166",18,2013,47.5,16.5
"167",25,2013,47.5,17.5
"168",30,2013,47.5,18.5
"169",35,2013,47.5,19.5
"170",42,2013,47.5,20.5
"171",41,2013,47.5,21.5
"172",34,2013,47.5,22.5
"173",37,2013,47.5,23.5
"174",34,2013,47.5,24.5
"175",33,2013,47.5,25.5
"176",26,2013,47.5,26.5
"177",23,2013,47.5,27.5
"178",26,2013,47.5,28.5
"179",24,2013,47.5,29.5
"180",30,2013,47.5,30.5
"181",29,2013,47.5,31.5
"182",29,2013,47.5,32.5
"183",30,2013,47.5,33.5
"184",41,2013,47.5,34.5
"185",42,2013,47.5,35.5
"186",46,2013,47.5,36.5
"187",49,2013,47.5,37.5
"188",47,2013,47.5,38.5
"189",44,2013,47.5,39.5
"190",55,2013,47.5,40.5
"191",56,2013,47.5,41.5
"192",59,2013,47.5,42.5
"193",54,2013,47.5,43.5
"194",45,2013,47.5,44.5
"195",45,2013,47.5,45.5
"196",47,2013,47.5,46.5
"197",47,2013,47.5,47.5
"198",52,2013,47.5,48.5
"199",56,2013,46.5,-49.5
"200",61,2013,46.5,-48.5
"201",63,2013,46.5,-47.5
"202",64,2013,46.5,-46.5
"203",58,2013,46.5,-45.5
"204",55,2013,46.5,-44.5
"205",54,2013,46.5,-43.5
"206",55,2013,46.5,-42.5
"207",56,2013,46.5,-41.5
"208",54,2013,46.5,-40.5
"209",51,2013,46.5,-39.5
"210",44,2013,46.5,-38.5
"211",45,2013,46.5,-37.5
"212",51,2013,46.5,-36.5
"213",50,2013,46.5,-35.5
"214",49,2013,46.5,-34.5
"215",55,2013,46.5,-33.5
"216",56,2013,46.5,-32.5
"217",61,2013,46.5,-31.5
"218",60,2013,46.5,-30.5
"219",63,2013,46.5,-29.5
"220",58,2013,46.5,-28.5
"221",54,2013,46.5,-27.5
"222",49,2013,46.5,-26.5
"223",49,2013,46.5,-25.5
"224",58,2013,46.5,-24.5
"225",55,2013,46.5,-23.5
"226",54,2013,46.5,-22.5
"227",56,2013,46.5,-21.5
"228",56,2013,46.5,-20.5
"229",58,2013,46.5,-19.5
"230",61,2013,46.5,-18.5
"231",61,2013,46.5,-17.5
"232",60,2013,46.5,-16.5
"233",59,2013,46.5,-15.5
"234",51,2013,46.5,-14.5
"235",51,2013,46.5,-13.5
"236",53,2013,46.5,-12.5
"237",56,2013,46.5,-11.5
"238",57,2013,46.5,-10.5
"239",59,2013,46.5,-9.5
"240",59,2013,46.5,-8.5
"241",57,2013,46.5,-7.5
"242",49,2013,46.5,-6.5
"243",45,2013,46.5,-5.5
"244",44,2013,46.5,-4.5
"245",43,2013,46.5,-3.5
"246",43,2013,46.5,-2.5
"247",44,2013,46.5,-1.5
"248",45,2013,46.5,-0.5
"249",43,2013,46.5,0.5
"250",38,2013,46.5,1.5
"251",38,2013,46.5,2.5
"252",35,2013,46.5,3.5
"253",35,2013,46.5,4.5
"254",36,2013,46.5,5.5
"255",31,2013,46.5,6.5
"256",22,2013,46.5,7.5
"257",20,2013,46.5,8.5
"258",22,2013,46.5,9.5
"259",22,2013,46.5,10.5
"260",12,2013,46.5,11.5
"261",8,2013,46.5,12.5
"262",5,2013,46.5,13.5
"263",8,2013,46.5,14.5
"264",11,2013,46.5,15.5
"265",18,2013,46.5,16.5
"266",24,2013,46.5,17.5
"267",29,2013,46.5,18.5
"268",32,2013,46.5,19.5
"269",33,2013,46.5,20.5
"270",32,2013,46.5,21.5
"271",36,2013,46.5,22.5
"272",34,2013,46.5,23.5
"273",31,2013,46.5,24.5
"274",29,2013,46.5,25.5
"275",22,2013,46.5,26.5
"276",23,2013,46.5,27.5
"277",26,2013,46.5,28.5
"278",27,2013,46.5,29.5
"279",34,2013,46.5,30.5
"280",32,2013,46.5,31.5
"281",34,2013,46.5,32.5
"282",38,2013,46.5,33.5
"283",39,2013,46.5,34.5
"284",44,2013,46.5,35.5
"285",43,2013,46.5,36.5
"286",48,2013,46.5,37.5
"287",48,2013,46.5,38.5
"288",46,2013,46.5,39.5
"289",53,2013,46.5,40.5
"290",57,2013,46.5,41.5
"291",53,2013,46.5,42.5
"292",54,2013,46.5,43.5
"293",50,2013,46.5,44.5
"294",49,2013,46.5,45.5
"295",47,2013,46.5,46.5
"296",48,2013,46.5,47.5
"297",54,2013,46.5,48.5
"298",51,2013,45.5,-49.5
"299",50,2013,45.5,-48.5
"300",49,2013,45.5,-47.5
"301",58,2013,45.5,-46.5
"302",53,2013,45.5,-45.5
"303",52,2013,45.5,-44.5
"304",56,2013,45.5,-43.5
"305",59,2013,45.5,-42.5
"306",56,2013,45.5,-41.5
"307",60,2013,45.5,-40.5
"308",54,2013,45.5,-39.5
"309",54,2013,45.5,-38.5
"310",43,2013,45.5,-37.5
"311",44,2013,45.5,-36.5
"312",47,2013,45.5,-35.5
"313",48,2013,45.5,-34.5
"314",60,2013,45.5,-33.5
"315",61,2013,45.5,-32.5
"316",65,2013,45.5,-31.5
"317",66,2013,45.5,-30.5
"318",65,2013,45.5,-29.5
"319",63,2013,45.5,-28.5
"320",59,2013,45.5,-27.5
"321",48,2013,45.5,-26.5
"322",46,2013,45.5,-25.5
"323",49,2013,45.5,-24.5
"324",52,2013,45.5,-23.5
"325",46,2013,45.5,-22.5
"326",51,2013,45.5,-21.5
"327",53,2013,45.5,-20.5
"328",58,2013,45.5,-19.5
"329",62,2013,45.5,-18.5
"330",57,2013,45.5,-17.5
"331",65,2013,45.5,-16.5
"332",58,2013,45.5,-15.5
"333",47,2013,45.5,-14.5
"334",51,2013,45.5,-13.5
"335",49,2013,45.5,-12.5
"336",54,2013,45.5,-11.5
"337",57,2013,45.5,-10.5
"338",58,2013,45.5,-9.5
"339",57,2013,45.5,-8.5
"340",56,2013,45.5,-7.5
"341",45,2013,45.5,-6.5
"342",41,2013,45.5,-5.5
"343",42,2013,45.5,-4.5
"344",40,2013,45.5,-3.5
"345",37,2013,45.5,-2.5
"346",42,2013,45.5,-1.5
"347",42,2013,45.5,-0.5
"348",46,2013,45.5,0.5
"349",44,2013,45.5,1.5
"350",39,2013,45.5,2.5
"351",37,2013,45.5,3.5
"352",34,2013,45.5,4.5
"353",34,2013,45.5,5.5
"354",30,2013,45.5,6.5
"355",21,2013,45.5,7.5
"356",18,2013,45.5,8.5
"357",18,2013,45.5,9.5
"358",22,2013,45.5,10.5
"359",27,2013,45.5,11.5
"360",16,2013,45.5,12.5
"361",11,2013,45.5,13.5
"362",16,2013,45.5,14.5
"363",15,2013,45.5,15.5
"364",19,2013,45.5,16.5
"365",22,2013,45.5,17.5
"366",26,2013,45.5,18.5
"367",29,2013,45.5,19.5
"368",28,2013,45.5,20.5
"369",31,2013,45.5,21.5
"370",32,2013,45.5,22.5
"371",30,2013,45.5,23.5
"372",28,2013,45.5,24.5
"373",26,2013,45.5,25.5
"374",26,2013,45.5,26.5
"375",24,2013,45.5,27.5
"376",25,2013,45.5,28.5
"377",27,2013,45.5,29.5
"378",35,2013,45.5,30.5
"379",35,2013,45.5,31.5
"380",38,2013,45.5,32.5
"381",46,2013,45.5,33.5
"382",45,2013,45.5,34.5
"383",43,2013,45.5,35.5
"384",42,2013,45.5,36.5
"385",45,2013,45.5,37.5
"386",51,2013,45.5,38.5
"387",57,2013,45.5,39.5
"388",54,2013,45.5,40.5
"389",62,2013,45.5,41.5
"390",55,2013,45.5,42.5
"391",53,2013,45.5,43.5
"392",51,2013,45.5,44.5
"393",49,2013,45.5,45.5
"394",52,2013,45.5,46.5
"395",50,2013,45.5,47.5
"396",52,2013,45.5,48.5
"397",40,2013,44.5,-49.5
"398",43,2013,44.5,-48.5
"399",46,2013,44.5,-47.5
"400",46,2013,44.5,-46.5
"401",49,2013,44.5,-45.5
"402",51,2013,44.5,-44.5
"403",48,2013,44.5,-43.5
"404",50,2013,44.5,-42.5
"405",58,2013,44.5,-41.5
"406",46,2013,44.5,-40.5
"407",49,2013,44.5,-39.5
"408",51,2013,44.5,-38.5
"409",42,2013,44.5,-37.5
"410",44,2013,44.5,-36.5
"411",49,2013,44.5,-35.5
"412",57,2013,44.5,-34.5
"413",65,2013,44.5,-33.5
"414",64,2013,44.5,-32.5
"415",68,2013,44.5,-31.5
"416",67,2013,44.5,-30.5
"417",66,2013,44.5,-29.5
"418",62,2013,44.5,-28.5
"419",58,2013,44.5,-27.5
"420",52,2013,44.5,-26.5
"421",46,2013,44.5,-25.5
"422",50,2013,44.5,-24.5
"423",51,2013,44.5,-23.5
"424",50,2013,44.5,-22.5
"425",47,2013,44.5,-21.5
"426",49,2013,44.5,-20.5
"427",58,2013,44.5,-19.5
"428",54,2013,44.5,-18.5
"429",56,2013,44.5,-17.5
"430",57,2013,44.5,-16.5
"431",56,2013,44.5,-15.5
"432",51,2013,44.5,-14.5
"433",47,2013,44.5,-13.5
"434",55,2013,44.5,-12.5
"435",58,2013,44.5,-11.5
"436",57,2013,44.5,-10.5
"437",54,2013,44.5,-9.5
"438",50,2013,44.5,-8.5
"439",46,2013,44.5,-7.5
"440",46,2013,44.5,-6.5
"441",45,2013,44.5,-5.5
"442",45,2013,44.5,-4.5
"443",45,2013,44.5,-3.5
"444",41,2013,44.5,-2.5
"445",37,2013,44.5,-1.5
"446",46,2013,44.5,-0.5
"447",46,2013,44.5,0.5
"448",45,2013,44.5,1.5
"449",42,2013,44.5,2.5
"450",40,2013,44.5,3.5
"451",37,2013,44.5,4.5
"452",35,2013,44.5,5.5
"453",34,2013,44.5,6.5
"454",28,2013,44.5,7.5
"455",25,2013,44.5,8.5
"456",23,2013,44.5,9.5
"457",20,2013,44.5,10.5
"458",29,2013,44.5,11.5
"459",26,2013,44.5,12.5
"460",26,2013,44.5,13.5
"461",22,2013,44.5,14.5
"462",20,2013,44.5,15.5
"463",23,2013,44.5,16.5
"464",22,2013,44.5,17.5
"465",23,2013,44.5,18.5
"466",32,2013,44.5,19.5
"467",25,2013,44.5,20.5
"468",19,2013,44.5,21.5
"469",27,2013,44.5,22.5
"470",28,2013,44.5,23.5
"471",28,2013,44.5,24.5
"472",30,2013,44.5,25.5
"473",28,2013,44.5,26.5
"474",28,2013,44.5,27.5
"475",31,2013,44.5,28.5
"476",32,2013,44.5,29.5
"477",38,2013,44.5,30.5
"478",32,2013,44.5,31.5
"479",39,2013,44.5,32.5
"480",46,2013,44.5,33.5
"481",47,2013,44.5,34.5
"482",48,2013,44.5,35.5
"483",49,2013,44.5,36.5
"484",50,2013,44.5,37.5
"485",56,2013,44.5,38.5
"486",60,2013,44.5,39.5
"487",59,2013,44.5,40.5
"488",57,2013,44.5,41.5
"489",57,2013,44.5,42.5
"490",52,2013,44.5,43.5
"491",51,2013,44.5,44.5
"492",53,2013,44.5,45.5
"493",54,2013,44.5,46.5
"494",56,2013,44.5,47.5
"495",59,2013,44.5,48.5
"496",36,2013,43.5,-49.5
"497",36,2013,43.5,-48.5
"498",43,2013,43.5,-47.5
"499",44,2013,43.5,-46.5
"500",44,2013,43.5,-45.5
"501",44,2013,43.5,-44.5
"502",48,2013,43.5,-43.5
"503",48,2013,43.5,-42.5
"504",51,2013,43.5,-41.5
"505",52,2013,43.5,-40.5
"506",56,2013,43.5,-39.5
"507",49,2013,43.5,-38.5
"508",46,2013,43.5,-37.5
"509",46,2013,43.5,-36.5
"510",58,2013,43.5,-35.5
"511",66,2013,43.5,-34.5
"512",68,2013,43.5,-33.5
"513",71,2013,43.5,-32.5
"514",69,2013,43.5,-31.5
"515",70,2013,43.5,-30.5
"516",64,2013,43.5,-29.5
"517",64,2013,43.5,-28.5
"518",53,2013,43.5,-27.5
"519",52,2013,43.5,-26.5
"520",52,2013,43.5,-25.5
"521",52,2013,43.5,-24.5
"522",53,2013,43.5,-23.5
"523",47,2013,43.5,-22.5
"524",50,2013,43.5,-21.5
"525",48,2013,43.5,-20.5
"526",57,2013,43.5,-19.5
"527",59,2013,43.5,-18.5
"528",53,2013,43.5,-17.5
"529",54,2013,43.5,-16.5
"530",54,2013,43.5,-15.5
"531",52,2013,43.5,-14.5
"532",54,2013,43.5,-13.5
"533",59,2013,43.5,-12.5
"534",52,2013,43.5,-11.5
"535",49,2013,43.5,-10.5
"536",49,2013,43.5,-9.5
"537",45,2013,43.5,-8.5
"538",43,2013,43.5,-7.5
"539",43,2013,43.5,-6.5
"540",44,2013,43.5,-5.5
"541",46,2013,43.5,-4.5
"542",40,2013,43.5,-3.5
"543",41,2013,43.5,-2.5
"544",44,2013,43.5,-1.5
"545",44,2013,43.5,-0.5
"546",44,2013,43.5,0.5
"547",40,2013,43.5,1.5
"548",46,2013,43.5,2.5
"549",44,2013,43.5,3.5
"550",41,2013,43.5,4.5
"551",38,2013,43.5,5.5
"552",33,2013,43.5,6.5
"553",27,2013,43.5,7.5
"554",30,2013,43.5,8.5
"555",25,2013,43.5,9.5
"556",24,2013,43.5,10.5
"557",24,2013,43.5,11.5
"558",28,2013,43.5,12.5
"559",36,2013,43.5,13.5
"560",28,2013,43.5,14.5
"561",23,2013,43.5,15.5
"562",23,2013,43.5,16.5
"563",27,2013,43.5,17.5
"564",25,2013,43.5,18.5
"565",27,2013,43.5,19.5
"566",27,2013,43.5,20.5
"567",25,2013,43.5,21.5
"568",28,2013,43.5,22.5
"569",24,2013,43.5,23.5
"570",29,2013,43.5,24.5
"571",28,2013,43.5,25.5
"572",30,2013,43.5,26.5
"573",33,2013,43.5,27.5
"574",36,2013,43.5,28.5
"575",40,2013,43.5,29.5
"576",49,2013,43.5,30.5
"577",45,2013,43.5,31.5
"578",43,2013,43.5,32.5
"579",46,2013,43.5,33.5
"580",51,2013,43.5,34.5
"581",54,2013,43.5,35.5
"582",53,2013,43.5,36.5
"583",56,2013,43.5,37.5
"584",59,2013,43.5,38.5
"585",66,2013,43.5,39.5
"586",68,2013,43.5,40.5
"587",58,2013,43.5,41.5
"588",58,2013,43.5,42.5
"589",53,2013,43.5,43.5
"590",53,2013,43.5,44.5
"591",60,2013,43.5,45.5
"592",62,2013,43.5,46.5
"593",66,2013,43.5,47.5
"594",63,2013,43.5,48.5
"595",34,2013,42.5,-49.5
"596",34,2013,42.5,-48.5
"597",37,2013,42.5,-47.5
"598",38,2013,42.5,-46.5
"599",36,2013,42.5,-45.5
"600",41,2013,42.5,-44.5
"601",38,2013,42.5,-43.5
"602",41,2013,42.5,-42.5
"603",48,2013,42.5,-41.5
"604",52,2013,42.5,-40.5
"605",52,2013,42.5,-39.5
"606",51,2013,42.5,-38.5
"607",47,2013,42.5,-37.5
"608",48,2013,42.5,-36.5
"609",55,2013,42.5,-35.5
"610",64,2013,42.5,-34.5
"611",69,2013,42.5,-33.5
"612",72,2013,42.5,-32.5
"613",74,2013,42.5,-31.5
"614",72,2013,42.5,-30.5
"615",65,2013,42.5,-29.5
"616",64,2013,42.5,-28.5
"617",56,2013,42.5,-27.5
"618",56,2013,42.5,-26.5
"619",55,2013,42.5,-25.5
"620",47,2013,42.5,-24.5
"621",51,2013,42.5,-23.5
"622",48,2013,42.5,-22.5
"623",49,2013,42.5,-21.5
"624",53,2013,42.5,-20.5
"625",55,2013,42.5,-19.5
"626",60,2013,42.5,-18.5
"627",52,2013,42.5,-17.5
"628",55,2013,42.5,-16.5
"629",56,2013,42.5,-15.5
"630",60,2013,42.5,-14.5
"631",60,2013,42.5,-13.5
"632",57,2013,42.5,-12.5
"633",53,2013,42.5,-11.5
"634",51,2013,42.5,-10.5
"635",53,2013,42.5,-9.5
"636",51,2013,42.5,-8.5
"637",43,2013,42.5,-7.5
"638",43,2013,42.5,-6.5
"639",46,2013,42.5,-5.5
"640",45,2013,42.5,-4.5
"641",46,2013,42.5,-3.5
"642",41,2013,42.5,-2.5
"643",42,2013,42.5,-1.5
"644",44,2013,42.5,-0.5
"645",45,2013,42.5,0.5
"646",45,2013,42.5,1.5
"647",47,2013,42.5,2.5
"648",49,2013,42.5,3.5
"649",45,2013,42.5,4.5
"650",42,2013,42.5,5.5
"651",38,2013,42.5,6.5
"652",32,2013,42.5,7.5
"653",31,2013,42.5,8.5
"654",34,2013,42.5,9.5
"655",31,2013,42.5,10.5
"656",27,2013,42.5,11.5
"657",32,2013,42.5,12.5
"658",28,2013,42.5,13.5
"659",29,2013,42.5,14.5
"660",26,2013,42.5,15.5
"661",25,2013,42.5,16.5
"662",23,2013,42.5,17.5
"663",25,2013,42.5,18.5
"664",27,2013,42.5,19.5
"665",23,2013,42.5,20.5
"666",22,2013,42.5,21.5
"667",27,2013,42.5,22.5
"668",26,2013,42.5,23.5
"669",26,2013,42.5,24.5
"670",27,2013,42.5,25.5
"671",31,2013,42.5,26.5
"672",38,2013,42.5,27.5
"673",41,2013,42.5,28.5
"674",45,2013,42.5,29.5
"675",49,2013,42.5,30.5
"676",49,2013,42.5,31.5
"677",48,2013,42.5,32.5
"678",46,2013,42.5,33.5
"679",47,2013,42.5,34.5
"680",52,2013,42.5,35.5
"681",56,2013,42.5,36.5
"682",65,2013,42.5,37.5
"683",64,2013,42.5,38.5
"684",62,2013,42.5,39.5
"685",62,2013,42.5,40.5
"686",58,2013,42.5,41.5
"687",58,2013,42.5,42.5
"688",62,2013,42.5,43.5
"689",60,2013,42.5,44.5
"690",65,2013,42.5,45.5
"691",61,2013,42.5,46.5
"692",69,2013,42.5,47.5
"693",65,2013,42.5,48.5
"694",35,2013,41.5,-49.5
"695",34,2013,41.5,-48.5
"696",37,2013,41.5,-47.5
"697",37,2013,41.5,-46.5
"698",38,2013,41.5,-45.5
"699",39,2013,41.5,-44.5
"700",42,2013,41.5,-43.5
"701",45,2013,41.5,-42.5
"702",46,2013,41.5,-41.5
"703",51,2013,41.5,-40.5
"704",48,2013,41.5,-39.5
"705",41,2013,41.5,-38.5
"706",46,2013,41.5,-37.5
"707",50,2013,41.5,-36.5
"708",55,2013,41.5,-35.5
"709",57,2013,41.5,-34.5
"710",66,2013,41.5,-33.5
"711",71,2013,41.5,-32.5
"712",71,2013,41.5,-31.5
"713",78,2013,41.5,-30.5
"714",68,2013,41.5,-29.5
"715",57,2013,41.5,-28.5
"716",56,2013,41.5,-27.5
"717",58,2013,41.5,-26.5
"718",52,2013,41.5,-25.5
"719",51,2013,41.5,-24.5
"720",47,2013,41.5,-23.5
"721",49,2013,41.5,-22.5
"722",55,2013,41.5,-21.5
"723",49,2013,41.5,-20.5
"724",56,2013,41.5,-19.5
"725",53,2013,41.5,-18.5
"726",56,2013,41.5,-17.5
"727",54,2013,41.5,-16.5
"728",59,2013,41.5,-15.5
"729",59,2013,41.5,-14.5
"730",62,2013,41.5,-13.5
"731",61,2013,41.5,-12.5
"732",55,2013,41.5,-11.5
"733",55,2013,41.5,-10.5
"734",53,2013,41.5,-9.5
"735",51,2013,41.5,-8.5
"736",45,2013,41.5,-7.5
"737",42,2013,41.5,-6.5
"738",46,2013,41.5,-5.5
"739",47,2013,41.5,-4.5
"740",43,2013,41.5,-3.5
"741",38,2013,41.5,-2.5
"742",44,2013,41.5,-1.5
"743",48,2013,41.5,-0.5
"744",45,2013,41.5,0.5
"745",47,2013,41.5,1.5
"746",51,2013,41.5,2.5
"747",48,2013,41.5,3.5
"748",40,2013,41.5,4.5
"749",45,2013,41.5,5.5
"750",41,2013,41.5,6.5
"751",34,2013,41.5,7.5
"752",33,2013,41.5,8.5
"753",35,2013,41.5,9.5
"754",36,2013,41.5,10.5
"755",34,2013,41.5,11.5
"756",34,2013,41.5,12.5
"757",32,2013,41.5,13.5
"758",30,2013,41.5,14.5
"759",28,2013,41.5,15.5
"760",30,2013,41.5,16.5
"761",29,2013,41.5,17.5
"762",28,2013,41.5,18.5
"763",32,2013,41.5,19.5
"764",26,2013,41.5,20.5
"765",21,2013,41.5,21.5
"766",23,2013,41.5,22.5
"767",27,2013,41.5,23.5
"768",30,2013,41.5,24.5
"769",34,2013,41.5,25.5
"770",36,2013,41.5,26.5
"771",37,2013,41.5,27.5
"772",45,2013,41.5,28.5
"773",46,2013,41.5,29.5
"774",43,2013,41.5,30.5
"775",47,2013,41.5,31.5
"776",43,2013,41.5,32.5
"777",51,2013,41.5,33.5
"778",52,2013,41.5,34.5
"779",53,2013,41.5,35.5
"780",63,2013,41.5,36.5
"781",69,2013,41.5,37.5
"782",65,2013,41.5,38.5
"783",62,2013,41.5,39.5
"784",61,2013,41.5,40.5
"785",58,2013,41.5,41.5
"786",59,2013,41.5,42.5
"787",62,2013,41.5,43.5
"788",67,2013,41.5,44.5
"789",68,2013,41.5,45.5
"790",63,2013,41.5,46.5
"791",65,2013,41.5,47.5
"792",64,2013,41.5,48.5
"793",42,2013,40.5,-49.5
"794",39,2013,40.5,-48.5
"795",35,2013,40.5,-47.5
"796",36,2013,40.5,-46.5
"797",34,2013,40.5,-45.5
"798",38,2013,40.5,-44.5
"799",39,2013,40.5,-43.5
"800",46,2013,40.5,-42.5
"801",44,2013,40.5,-41.5
"802",47,2013,40.5,-40.5
"803",45,2013,40.5,-39.5
"804",48,2013,40.5,-38.5
"805",50,2013,40.5,-37.5
"806",47,2013,40.5,-36.5
"807",53,2013,40.5,-35.5
"808",59,2013,40.5,-34.5
"809",57,2013,40.5,-33.5
"810",64,2013,40.5,-32.5
"811",64,2013,40.5,-31.5
"812",66,2013,40.5,-30.5
"813",64,2013,40.5,-29.5
"814",56,2013,40.5,-28.5
"815",53,2013,40.5,-27.5
"816",52,2013,40.5,-26.5
"817",53,2013,40.5,-25.5
"818",48,2013,40.5,-24.5
"819",51,2013,40.5,-23.5
"820",50,2013,40.5,-22.5
"821",54,2013,40.5,-21.5
"822",54,2013,40.5,-20.5
"823",58,2013,40.5,-19.5
"824",58,2013,40.5,-18.5
"825",55,2013,40.5,-17.5
"826",55,2013,40.5,-16.5
"827",52,2013,40.5,-15.5
"828",58,2013,40.5,-14.5
"829",60,2013,40.5,-13.5
"830",56,2013,40.5,-12.5
"831",56,2013,40.5,-11.5
"832",56,2013,40.5,-10.5
"833",52,2013,40.5,-9.5
"834",51,2013,40.5,-8.5
"835",46,2013,40.5,-7.5
"836",49,2013,40.5,-6.5
"837",49,2013,40.5,-5.5
"838",49,2013,40.5,-4.5
"839",45,2013,40.5,-3.5
"840",39,2013,40.5,-2.5
"841",42,2013,40.5,-1.5
"842",43,2013,40.5,-0.5
"843",49,2013,40.5,0.5
"844",42,2013,40.5,1.5
"845",48,2013,40.5,2.5
